CpuTime,PID,StartingBurstTime,EndingBurstTime,CompletionTime
0,7,204,154,0
53,1,596,546,0
106,7,154,104,0
159,1,546,496,0
212,5,609,559,0
265,2,222,172,0
318,7,104,54,0
371,2,172,122,0
424,1,496,446,0
477,8,308,258,0
530,1,446,396,0
583,8,258,208,0
636,1,396,346,0
689,5,559,509,0
742,6,814,764,0
795,8,208,158,0
848,8,158,108,0
901,1,346,296,0
954,3,123,73,0
1007,4,209,159,0
1060,3,73,23,0
1113,8,108,58,0
1166,5,509,459,0
1219,1,296,246,0
1272,6,764,714,0
1325,5,459,409,0
1378,1,246,196,0
1431,8,58,8,0
1484,3,23,0,1507
1510,1,196,146,0
1563,6,714,664,0
1616,6,664,614,0
1669,7,54,4,0
1722,6,614,564,0
1775,6,564,514,0
1828,8,8,0,1836
1839,1,146,96,0
1892,6,514,464,0
1945,6,464,414,0
1998,1,96,46,0
2051,7,4,0,2055
2058,6,414,364,0
2111,5,409,359,0
2164,1,46,0,2210
2213,2,122,72,0
2266,2,72,22,0
2319,6,364,314,0
2372,5,359,309,0
2425,6,314,264,0
2478,2,22,0,2500
2503,6,264,214,0
2556,5,309,259,0
2609,5,259,209,0
2662,5,209,159,0
2715,5,159,109,0
2768,6,214,164,0
2821,6,164,114,0
2874,6,114,64,0
2927,6,64,14,0
2980,6,14,0,2994
2997,5,109,59,0
3050,5,59,9,0
3103,5,9,0,3112
3115,4,159,109,0
3168,4,109,59,0
3221,4,59,9,0
3274,4,9,0,3283
3286,9,333,283,0
3336,9,283,233,0
3386,9,233,183,0
3436,9,183,133,0
3486,9,133,83,0
3536,9,83,33,0
3586,9,33,0,3619
